"","weight","state","age","gender","vote","unit"
"347",3983.2351,12,0,2,2,0
"348",4230.9575,12,1,1,2,0
"349",3458.0996,12,1,2,1,0
"350",3900.1957,12,3,2,1,0
"351",4226.9848,12,1,1,NA,0
"352",4506.0645,12,0,2,2,0
"353",3454.8892,12,2,2,2,0
"354",3146.0378,12,2,1,2,0
"355",3471.7388,12,1,2,NA,0
"356",3191.4517,12,2,1,NA,0
"357",3328.3071,12,3,2,2,0
"358",3405.4663,12,2,1,2,0
"359",6006.8354,12,0,1,1,0
"360",3900.2368,12,1,2,1,0
"361",3073.4957,12,3,1,2,0
"362",3368.375,12,3,2,2,0
"363",3309.5598,12,NA,1,NA,0
"364",3172.423,12,NA,2,NA,0
"365",3140.6499,12,3,1,2,0
"366",3994.3818,12,1,1,2,0
"367",3381.5852,12,3,2,2,0
"368",3626.2882,12,2,2,2,0
"369",4085.245,12,1,1,2,0
"370",4821.6369,12,0,2,2,0
"371",3678.5372,12,1,1,2,0
"372",3423.8177,12,2,1,2,0
"373",3427.0355,12,NA,1,NA,0
"374",3550.8103,12,1,2,NA,0
"375",4894.4987,12,1,1,NA,0
"376",3395.8471,12,NA,1,NA,0
"377",3220.6272,12,2,1,2,0
"378",3558.6245,12,2,2,2,0
"379",3393.4124,12,1,2,2,0
"380",3296.4349,12,2,2,2,0
"381",3629.4717,12,1,2,1,0
"382",3452.4073,12,2,2,2,0
"383",3837.8532,12,2,1,2,0
"384",3990.6312,12,1,1,2,0
"385",4609.1531,12,1,1,2,0
"386",5551.9163,12,1,1,NA,0
"387",3938.5569,12,1,2,1,0
"388",3330.5657,12,2,2,2,0
"389",3373.4832,12,0,2,2,0
"390",3669.0056,12,0,2,1,0
"391",4078.3795,12,1,2,NA,0
"392",4612.8987,12,0,2,1,0
"393",5070.0426,12,0,1,1,0
"394",3209.5994,12,3,1,2,0
"395",3324.6897,12,3,2,2,0
"396",3458.5086,12,3,2,2,0
"397",3541.47,12,2,2,2,0
"398",3925.1558,12,2,1,2,0
"399",5320.1898,12,0,1,2,0
"400",3657.6082,12,1,1,2,0
"401",3565.0704,12,1,2,2,0
"402",3040.9553,12,1,2,2,0
"403",5902.48,12,0,1,1,0
"404",3678.5372,12,1,1,2,0
"405",3396.828,12,2,1,2,0
"406",3477.8629,12,1,1,2,0
"407",3247.6902,12,3,2,1,0
"408",3135.2654,12,3,1,1,0
"409",3368.6758,12,2,1,2,0
"410",3234.0363,12,2,2,2,0
"411",4451.1818,12,0,2,2,0
"412",4449.6593,12,1,2,NA,0
"413",3411.1499,12,2,1,2,0
"414",3942.2585,12,1,2,2,0
"415",4714.395,12,0,2,2,0
"416",3994.3818,12,1,1,2,0
"417",3343.3139,12,3,1,NA,0
"418",3073.5015,12,2,2,1,0
"419",3102.3761,12,2,1,2,0
"420",3195.9029,12,2,2,2,0
"421",2855.7068,12,3,1,NA,0
"422",3289.6476,12,2,2,NA,0
"423",3318.1579,12,2,1,NA,0
"424",5274.0141,12,0,1,NA,0
"425",5563.0233,12,NA,1,NA,0
"426",4607.2704,12,1,1,1,0
"427",3703.6629,12,0,2,1,0
"428",3411.1499,12,2,1,2,0
"429",3420.2081,12,0,1,2,0
"430",4142.1493,12,2,1,2,0
"431",3146.0378,12,2,1,2,0
"432",3449.1656,12,2,2,2,0
"433",3221.1137,12,2,2,2,0
"434",3180.9275,12,2,1,2,0
"435",3290.3312,12,0,1,2,0
"436",3115.3449,12,2,2,2,0
"437",3504.9929,12,2,1,2,0
"438",2709.0941,12,NA,2,NA,0
"439",3250.7426,12,NA,2,NA,0
"440",3396.5454,12,2,2,2,0
"441",3910.2696,12,1,2,2,0
"442",3379.0344,12,3,2,2,0
"443",3536.9259,12,1,1,NA,0
"444",3900.1957,12,3,2,NA,0
"445",3942.2585,12,1,2,2,0
"446",3331.2098,12,1,2,2,0
"447",3568.3064,12,3,1,2,0
"448",3568.3064,12,3,1,2,0
"449",3456.3977,12,NA,1,NA,0
"450",3306.8286,12,NA,2,NA,0
"451",3405.4663,12,2,1,2,0
"452",3903.5695,12,1,2,2,0
"453",3302.8017,12,3,1,2,0
"454",3188.6805,12,2,2,2,0
"455",3102.8278,12,2,1,2,0
"456",3416.9967,12,0,1,1,0
"457",3423.8591,12,1,1,NA,0
"458",3996.1191,12,1,2,2,0
"459",4240.3554,12,2,1,1,0
"460",5277.4047,12,0,1,1,0
"461",3043.3923,12,NA,2,NA,0
"462",3568.616,12,2,1,2,0
"463",3484.5371,12,2,2,2,0
"464",3463.8762,12,2,2,2,0
"465",3472.787,12,2,1,2,0
"466",3545.1598,12,2,1,2,0
"467",3630.5202,12,2,2,NA,0
"468",3161.5793,12,3,2,2,0
"469",3234.2583,12,2,2,2,0
"470",3984.6076,12,2,2,1,0
"471",4712.2145,12,2,1,1,0
"472",4898.9396,12,0,1,1,0
"473",5217.5587,12,0,2,1,0
"474",3367.0553,12,3,2,2,0
"475",3686.3146,12,1,1,2,0
"476",3882.4147,12,1,2,2,0
"477",4894.4987,12,1,1,2,0
"478",3450.6635,12,1,1,NA,0
"479",3372.415,12,1,2,NA,0
"480",3254.0594,12,NA,2,NA,0
"481",3494.5087,12,NA,1,NA,0
"482",3821.8865,12,1,2,1,0
"483",5224.3261,12,0,1,1,0
"484",3558.6245,12,2,2,NA,0
"485",3652.8289,12,3,2,NA,0
"486",3671.4952,12,3,1,NA,0
"487",3896.0221,12,1,2,NA,0
"488",3326.388,12,1,2,1,0
"489",3626.2882,12,2,2,NA,0
"490",3523.13,12,2,1,NA,0
"491",3380.0495,12,2,2,1,0
"492",4050.6719,12,1,1,2,0
"493",3162.237,12,1,1,2,0
"494",4300.2597,12,0,1,1,0
"495",4416.1424,12,0,2,1,0
"496",3368.6758,12,2,1,2,0
"497",3557.9167,12,2,2,2,0
"498",3462.7013,12,NA,2,NA,0
"499",3257.1177,12,1,2,2,0
"500",3635.8625,12,NA,2,NA,0
"501",3497.8856,12,NA,1,NA,0
"502",3369.2484,12,NA,2,NA,0
"503",3369.2484,12,1,2,1,0
"504",4143.6845,12,0,1,1,0
"505",4143.6845,12,0,1,1,0
"506",4807.6258,12,0,2,1,0
"507",3367.0553,12,3,2,2,0
"508",5756.9334,12,0,2,1,0
"509",3159.1364,12,2,2,2,0
"510",3290.6576,12,2,1,2,0
"511",3462.063,12,NA,1,NA,0
"512",3341.5847,12,3,2,2,0
"513",3256.3441,12,2,1,2,0
"514",3256.1499,12,2,2,2,0
"515",2972.9077,12,1,2,2,0
"516",3477.8629,12,1,1,2,0
"517",3544.954,12,2,2,2,0
"518",3221.1137,12,2,2,1,0
"519",3333.6959,12,2,2,2,0
"520",3376.6538,12,0,2,2,0
"521",3698.8461,12,1,1,1,0
"522",3631.0918,12,1,2,2,0
"523",6104.3508,12,2,1,1,0
"524",3230.2428,12,2,2,2,0
"525",3405.4663,12,2,1,NA,0
"526",3326.1246,12,2,2,2,0
"527",4984.9916,12,0,2,1,0
"528",3683.2838,12,0,2,NA,0
"529",3568.8959,12,NA,1,NA,0
"530",2855.7068,12,3,1,NA,0
"531",4085.245,12,1,1,2,0
"532",4031.936,12,1,2,2,0
"533",3135.2654,12,3,1,1,0
"534",3306.144,12,3,1,2,0
"535",3325.1819,12,3,2,2,0
"536",4010.0236,12,1,2,NA,0
"537",3380.0495,12,2,2,2,0
"538",4132.0411,12,0,1,1,0
"539",3698.8461,12,1,1,2,0
"540",3886.0636,12,1,2,1,0
"541",4582.1428,12,1,1,NA,0
"542",3821.8865,12,1,2,NA,0
"543",3554.1182,12,0,2,NA,0
"544",3369.2484,12,1,2,2,0
"545",3465.3168,12,2,1,2,0
"546",3257.1177,12,1,2,2,0
"547",3172.423,12,1,2,1,0
"548",3069.1676,12,3,1,2,0
"549",3180.7379,12,2,2,2,0
"550",3713.1208,12,2,2,2,0
"551",3485.6649,12,2,1,2,0
"552",3407.9716,12,1,2,2,0
"553",3312.225,12,0,2,2,0
"554",3141.1639,12,2,2,2,0
"555",3439.2262,12,2,1,2,0
"556",4363.2493,12,2,2,2,0
"557",4136.7099,12,1,2,2,0
"558",3183.7672,12,1,2,1,0
"559",3091.2601,12,3,2,1,0
"560",3634.5407,12,0,1,2,0
"561",3179.1779,12,0,2,1,0
"562",3678.5372,12,1,1,2,0
"563",3314.8214,12,1,2,2,0
"564",4078.3795,12,1,2,2,0
"565",4822.6547,12,0,2,1,0
"566",4555.6688,12,0,1,2,0
"567",3090.2597,12,1,1,2,0
"568",4169.9332,12,1,2,2,0
"569",3315.338,12,NA,2,NA,0
"570",3290.956,12,3,1,2,0
"571",3378.41,12,3,2,2,0
"572",4512.926,12,NA,2,NA,0
"573",3422.5804,12,3,1,2,0
"574",3484.5371,12,2,2,2,0
"575",3829.5643,12,3,1,2,0
"576",3002.3196,12,2,2,2,0
"577",3879.8341,12,0,2,2,0
"578",3773.7134,12,1,1,2,0
"579",3974.4628,12,1,2,2,0
"580",4473.1259,12,0,1,2,0
"581",5070.0426,12,0,1,2,0
"582",4612.8987,12,0,2,2,0
"583",3411.1499,12,2,1,2,0
"584",3487.8121,12,2,2,1,0
"585",3698.8461,12,1,1,1,0
"586",3631.0918,12,1,2,2,0
"587",3370.2199,12,3,2,2,0
"588",3090.2597,12,1,1,1,0
"589",3557.9167,12,2,2,2,0
"590",3325.1819,12,3,2,2,0
"591",3428.7174,12,NA,2,NA,0
"592",3254.553,12,NA,2,NA,0
"593",3315.338,12,0,2,2,0
"594",3603.2733,12,2,1,NA,0
"595",3393.4124,12,1,2,NA,0
"596",4249.3954,12,1,1,2,0
"597",3209.5994,12,3,1,2,0
"598",5423.3346,12,1,1,2,0
"599",6006.8354,12,0,1,2,0
"600",3527.5602,12,2,1,NA,0
"601",3476.2072,12,2,2,NA,0
"602",3519.8219,12,2,1,NA,0
"603",3183.9171,12,2,1,2,0
"604",3183.7273,12,2,2,2,0
"605",3622.8832,12,2,2,2,0
"606",3422.5804,12,3,1,1,0
"607",4101.2426,12,1,2,2,0
"608",4085.245,12,1,1,2,0
"609",3454.8892,12,NA,2,NA,0
"610",3146.0378,12,NA,1,NA,0
"611",4369.5289,12,NA,1,NA,0
"612",3073.4957,12,3,1,2,0
"613",3234.1708,12,1,1,2,0
"614",3882.4147,12,1,2,2,0
"615",3907.2382,12,1,2,2,0
"616",3482.933,12,2,1,2,0
"617",3180.7777,12,1,2,2,0
"618",3309.5598,12,1,1,1,0
"619",3088.3575,12,3,2,2,0
"620",4068.9017,12,3,2,2,0
"621",3506.0641,12,3,1,2,0
"622",3175.4046,12,1,2,2,0
"623",3481.1316,12,1,1,2,0
"624",3328.3071,12,3,2,2,0
"625",3254.553,12,0,2,2,0
"626",3505.0353,12,1,1,2,0
"627",4082.9753,12,1,1,1,0
"628",3466.9067,12,1,2,1,0
"629",3069.7107,12,1,2,2,0
"630",4874.1165,12,0,2,2,0
"631",3254.0594,12,1,2,2,0
"632",3494.5087,12,1,1,2,0
"633",4869.5398,12,0,2,1,0
"634",5054.2358,12,0,1,1,0
"635",3459.4499,12,NA,2,NA,0
"636",3627.6823,12,NA,2,NA,0
"637",3708.7781,12,2,2,NA,0
"638",4060.735,12,0,1,NA,0
"639",3896.1358,12,2,1,NA,0
"640",3814.4085,12,2,2,NA,0
"641",5428.4317,12,1,1,NA,0
"642",3090.2597,12,1,1,1,0
"643",3286.0755,12,2,1,1,0
"644",3221.1137,12,2,2,2,0
"645",3546.0012,12,2,2,2,0
"646",3482.933,12,2,1,2,0
"647",3180.9275,12,2,1,2,0
"648",3308.6191,12,3,2,2,0
"649",2972.9077,12,1,2,2,0
"650",3477.8629,12,1,1,2,0
"651",3254.0594,12,NA,2,NA,0
"652",3226.1706,12,NA,2,NA,0
"653",3577.3599,12,1,1,2,0
"654",3247.6379,12,1,2,2,0
"655",3384.5293,12,3,1,2,0
"656",3043.1938,12,2,2,2,0
"657",3423.8177,12,2,1,2,0
"658",3333.1576,12,3,2,1,0
"659",3234.1708,12,1,1,2,0
"660",2923.4127,12,2,1,2,0
"661",3326.388,12,1,2,2,0
"662",3486.2407,12,1,1,NA,0
"663",3170.978,12,1,2,NA,0
"664",4249.3954,12,1,1,1,0
"665",4101.2426,12,1,2,2,0
